dataset,model,source_type,source,window_value,applies_to,actual_override,source_commit,project_selected,reason
GHL,GDN,논문,GDN AAAI 2021,5,SWaT·WADI,해당 없음,paper,True,논문 실험값을 우선한다.
GHL,GDN,공식 코드,d-ailin/GDN main.py 기본값,15,명령행 기본값,기본값 사용 시 15,9853899da860682669a134e4af315d036aab4eca,False,논문 실험값 5와 다르므로 채택하지 않는다.
GHL,GDN,현재 config,configs/gdn_hyperparams.yaml,5,GHL·HAI,명시값 5,project,True,논문값과 일치하며 모든 비율과 두 데이터셋에 고정한다.
GHL,CI-AE,TSB-AD wrapper,run_AutoEncoder,100,채널별 univariate 입력,slidingWindow=window_size,e0975a5f7d3e65ab77e9fab24d1b5b51acda8f48,True,채택 구현의 실제 기본값이며 채널별 입력에서 window 변환이 적용된다.
GHL,CI-AE,TSB-AD 구현 동작,AutoEncoder.fit,100,univariate에서만 window 변환,다변량은 변환 생략,e0975a5f7d3e65ab77e9fab24d1b5b51acda8f48,True,CI-AE는 채널별 입력으로 univariate 경로를 강제한다.
GHL,LSTM-AD,원 논문,EncDec-AD ICML Workshop 2016,dataset-specific,공정·주기별 30~500,해당 없음,paper,False,보편적인 입력 길이를 제시하지 않는다.
GHL,LSTM-AD,TSB-AD wrapper,run_LSTMAD,100,TSB-AD 이식 기준,window_size=100,e0975a5f7d3e65ab77e9fab24d1b5b51acda8f48,True,현재 채택 구현의 실제 기본값을 따른다.
GHL,USAD,논문 민감도,USAD KDD 2020,10,window 5·10·20·50·100 비교,해당 없음,paper,True,비교값 중 10이 가장 높았으며 GHL 결과 전 transfer 기준으로 고정한다.
GHL,USAD,논문 부록,USAD supplementary,SWaT 12; WADI 10; SMD·SMAP·MSL 5,데이터셋별,해당 없음,paper,False,데이터셋마다 값이 달라 10을 보편적 기본값이라고 부르지 않는다.
GHL,USAD,공식 코드,manigalati/usad SWaT notebook,12,SWaT,window_size=12,e25af45c8e1c32783aed94fc7e5ab85effef2b1a,False,SWaT 재현값이며 GHL transfer 기준과 구분한다.
GHL,USAD,TSB-AD wrapper,run_USAD,5,TSB-AD 기본값,win_size=5,e0975a5f7d3e65ab77e9fab24d1b5b51acda8f48,False,논문 민감도와 WADI 설정을 우선해 명시적으로 10으로 덮어쓴다.
