dataset,file_or_session,model,test_length,model_input_window_size,target_horizon,first_valid_score_index,source_time_index_of_first_core_score,source_time_index_after_last_core_score,source_timestamp_of_first_core_score,core_score_length,expected_saved_score_length,project_saved_axis,raw_wrapper_left_padding_count,raw_wrapper_right_padding_count,raw_wrapper_saved_score_length,project_padding_count,alignment_rule,alignment_valid,label_values_used
GHL,series_01,CI-AE,150001,100,0,50,50,149952,,149902,149902,source[50:149952],50,49,150001,0,window reconstruction score를 중앙 시점에 맞춘 core만 저장,True,False
GHL,series_01,LSTM-AD,150001,100,1,100,100,150001,,149901,149901,source[100:150001],100,0,150001,0,1-step target인 labels[W:]와 core를 직접 대응,True,False
GHL,series_01,USAD,150001,10,0,5,5,149997,,149992,149992,source[5:149997],5,4,150001,0,window reconstruction score를 중앙 시점에 맞춘 core만 저장,True,False
GHL,series_01,GDN,150001,5,1,5,5,150001,,149996,149996,source[5:150001],0,0,149996,0,1-step target인 labels[W:]와 core를 직접 대응,True,False
GHL,series_02,CI-AE,150001,100,0,50,50,149952,,149902,149902,source[50:149952],50,49,150001,0,window reconstruction score를 중앙 시점에 맞춘 core만 저장,True,False
GHL,series_02,LSTM-AD,150001,100,1,100,100,150001,,149901,149901,source[100:150001],100,0,150001,0,1-step target인 labels[W:]와 core를 직접 대응,True,False
GHL,series_02,USAD,150001,10,0,5,5,149997,,149992,149992,source[5:149997],5,4,150001,0,window reconstruction score를 중앙 시점에 맞춘 core만 저장,True,False
GHL,series_02,GDN,150001,5,1,5,5,150001,,149996,149996,source[5:150001],0,0,149996,0,1-step target인 labels[W:]와 core를 직접 대응,True,False
GHL,series_03,CI-AE,150001,100,0,50,50,149952,,149902,149902,source[50:149952],50,49,150001,0,window reconstruction score를 중앙 시점에 맞춘 core만 저장,True,False
GHL,series_03,LSTM-AD,150001,100,1,100,100,150001,,149901,149901,source[100:150001],100,0,150001,0,1-step target인 labels[W:]와 core를 직접 대응,True,False
GHL,series_03,USAD,150001,10,0,5,5,149997,,149992,149992,source[5:149997],5,4,150001,0,window reconstruction score를 중앙 시점에 맞춘 core만 저장,True,False
GHL,series_03,GDN,150001,5,1,5,5,150001,,149996,149996,source[5:150001],0,0,149996,0,1-step target인 labels[W:]와 core를 직접 대응,True,False
GHL,series_04,CI-AE,150001,100,0,50,50,149952,,149902,149902,source[50:149952],50,49,150001,0,window reconstruction score를 중앙 시점에 맞춘 core만 저장,True,False
GHL,series_04,LSTM-AD,150001,100,1,100,100,150001,,149901,149901,source[100:150001],100,0,150001,0,1-step target인 labels[W:]와 core를 직접 대응,True,False
GHL,series_04,USAD,150001,10,0,5,5,149997,,149992,149992,source[5:149997],5,4,150001,0,window reconstruction score를 중앙 시점에 맞춘 core만 저장,True,False
GHL,series_04,GDN,150001,5,1,5,5,150001,,149996,149996,source[5:150001],0,0,149996,0,1-step target인 labels[W:]와 core를 직접 대응,True,False
