dataset,model,parameter,reference_value,source_priority,source,selection_reason,fixed_across_ratios,status
GHL,CI-AE,model_structure,19 separate univariate autoencoders,5,project control definition,채널 간 정보 공유를 원리적으로 차단한다.,True,adapter_required
GHL,CI-AE,input_window,100,4,TSB-AD run_AutoEncoder,채택 wrapper의 실제 입력 길이다.,True,verified
GHL,CI-AE,hidden_and_latent,"64,32; latent=32",4,TSB-AD run_AutoEncoder,wrapper가 넘기는 hidden_neurons를 그대로 쓴다.,True,verified
GHL,CI-AE,activation_and_regularization,ReLU; BatchNorm; dropout=0.2,4,TSB-AD AutoEncoder,채택 구현의 구조를 그대로 쓴다.,True,verified
GHL,CI-AE,batch_size,128,4,TSB-AD run_AutoEncoder,wrapper가 클래스 기본값 32를 128로 덮어쓴다.,True,verified
GHL,CI-AE,max_epochs,50,4,TSB-AD run_AutoEncoder,wrapper가 클래스 기본값 100을 50으로 덮어쓴다.,True,verified
GHL,CI-AE,optimizer,"Adam(lr=0.001, weight_decay=1e-5)",4,TSB-AD AutoEncoder,채택 코드의 학습 규칙이다.,True,verified
GHL,CI-AE,early_stopping,none; use final epoch state,4,TSB-AD AutoEncoder,원본은 state_dict를 복사하지 않아 최저 손실 시점이 아니라 마지막 epoch 상태가 남는다.,True,verified
GHL,CI-AE,loss,MSE reconstruction,4,TSB-AD AutoEncoder,채택 코드의 학습 손실이다.,True,verified
GHL,CI-AE,anomaly_score,mean absolute reconstruction error over window; robust normalization; channel max,5,project score contract,학습 손실은 MSE로 두고 출력 점수만 공통 절대오차 계약에 맞춘다.,True,adapter_required
GHL,CI-AE,input_normalization,fit-only MinMax; reuse on validation and test,5,project preprocessing contract,테스트 통계 사용과 이중 정규화를 막는다.,True,adapter_required
GHL,CI-AE,validation_ratio,0.1,5,project preprocessing contract,모든 모델에 같은 시간순 10% validation을 적용한다.,True,adapter_required
GHL,CI-AE,drop_last,True,4,TSB-AD AutoEncoder DataLoader,채택 코드의 실제 batch 동작이다.,True,verified
